 cycle , countPeriod , amplitude , srt , mrt 
0,0,90,250,3.97940008672038
0,1,102,274,4.37750562820388
0,2,109,383,5.83198773968623
0,3,110,522,7.17670503002262
0,4,102,498,6.97229342759718
0,5,90,435,6.38489256954637
0,6,78,357,5.52668216112193
0,7,71,341,5.32754378992498
0,8,70,323,5.09202522331103
0,9,78,318,5.02427119984433
1,0,90,213,3.28379603438738
1,1,102,276,4.40909082065218
1,2,109,415,6.18048096712093
1,3,110,530,7.24275869600789
1,4,102,508,7.05863712283919
1,5,90,425,6.28388930050312
1,6,78,374,5.7287160220048
1,7,71,350,5.44068044350276
1,8,70,319,5.03790683057181
1,9,78,352,5.46542663478131
2,0,90,214,3.30413773349191
2,1,102,301,4.78566495593843
2,2,109,470,6.72097857935718
2,3,110,537,7.29974285699556
2,4,102,489,6.8930885912362
2,5,90,390,5.91064607026499
2,6,78,373,5.71708831808688
2,7,71,328,5.15873843711679
2,8,70,311,4.92760389026838
2,9,78,300,4.77121254719662
3,0,90,232,3.654879848909
3,1,102,358,5.53883026643874
3,2,109,544,7.3559889969818
3,3,110,550,7.40362689494244
3,4,102,460,6.62757831681574
3,5,90,390,5.91064607026499
3,6,78,375,5.74031267727719
3,7,71,329,5.17195897949974
3,8,70,282,4.50249108319361
3,9,78,256,4.0823996531185
4,0,90,257,4.09933123331295
4,1,102,391,5.92176757395867
4,2,109,508,7.05863712283919
4,3,110,542,7.33999286538387
4,4,102,449,6.52246341003323
4,5,90,438,6.414741105041
4,6,78,332,5.21138083704036
4,7,71,328,5.15873843711679
4,8,70,289,4.60897842756548
4,9,78,226,3.54108439147401
5,0,90,300,4.77121254719662
5,1,102,433,6.36487896353366
5,2,109,491,6.91081492122969
5,3,110,532,7.25911632295048
5,4,102,469,6.71172842715083
5,5,90,476,6.77606952720493
5,6,78,365,5.62292864456475
5,7,71,293,4.6686762035411
5,8,70,216,3.34453751150931
5,9,78,195,2.90034611362518
6,0,90,319,5.03790683057181
6,1,102,474,6.75778341674085
6,2,109,492,6.9196510276736
6,3,110,501,6.99837725867246
6,4,102,437,6.40481436970422
6,5,90,430,6.33468455579587
6,6,78,363,5.59906625036113
6,7,71,288,4.59392487759231
6,8,70,205,3.11753861055754
6,9,78,196,2.92256071356476
7,0,90,361,5.57507201905658
7,1,102,461,6.63700925389648
7,2,109,527,7.21810615212547
7,3,110,496,6.95481676490197
7,4,102,479,6.80335513414563
7,5,90,378,5.77491799837225
7,6,78,348,5.41579243946581
7,7,71,240,3.80211241711606
7,8,70,197,2.94466226161593
7,9,78,184,2.64817823009536
8,0,90,382,5.82063362911709
8,1,102,496,6.95481676490197
8,2,109,525,7.20159303405957
8,3,110,476,6.77606952720493
8,4,102,479,6.80335513414563
8,5,90,417,6.20136054973758
8,6,78,330,5.18513939877887
8,7,71,208,3.18063334962762
8,8,70,177,2.47973266361807
8,9,78,186,2.69512944217916
9,0,90,398,5.99883072073688
9,1,102,479,6.80335513414563
9,2,109,499,6.9810054562339
9,3,110,504,7.02430536445525
9,4,102,473,6.74861140737812
9,5,90,388,5.88831725594207
9,6,78,292,4.65382851448418
9,7,71,210,3.22219294733919
9,8,70,167,2.22716471147583
9,9,78,201,3.03196057420489
